file,change_type,line_number,content,conflict
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,1,"file,change_type,line_number,content,conflict",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,2,"test_sync_change_2.md,ADDITION,1,# Test Sync Change 2,false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,3,"test_sync_change_2.md,ADDITION,2,,false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,4,"test_sync_change_2.md,ADDITION,3,Second test file added on `main` branch to re-test the Git Sync Automation pipeline.,false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,5,"test_sync_change_2.md,ADDITION,4,,false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,6,"test_sync_change_2.md,ADDITION,5,## Changes in this test,false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,7,"test_sync_change_2.md,ADDITION,6,- Verifying workflow triggers correctly after previous fixes,false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,8,"test_sync_change_2.md,ADDITION,7,- mod-release branch pushed to remote,false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,9,"test_sync_change_2.md,ADDITION,8,- scripts committed to master branch,false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,10,"test_sync_change_2.md,ADDITION,9,- GitHub Actions write permissions confirmed,false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,11,"test_sync_change_2.md,ADDITION,10,,false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,12,"test_sync_change_2.md,ADDITION,11,## Sample SQL change (simulating Oracle→Postgres migration context),false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,13,"test_sync_change_2.md,ADDITION,12,,false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,14,"test_sync_change_2.md,ADDITION,13,### Before (Oracle),false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,15,"test_sync_change_2.md,ADDITION,14,```sql,false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,16,"test_sync_change_2.md,ADDITION,15,SELECT * FROM users WHERE ROWNUM <= 10;,false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,17,"test_sync_change_2.md,ADDITION,16,""SELECT NVL(email, 'no-email') FROM customers;"",false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,18,"test_sync_change_2.md,ADDITION,17,SELECT SYSDATE FROM DUAL;,false",false
.github/sync-diffs/PR-2-master-to-mod-release-diff_summary.csv,REMOVAL,19,"test_sync_change_2.md,ADDITION,18,```,false",false
